label	text_a	text_b
0	不慌不忙	長方形
1	窄	橫向嘅尺寸好細；唔夠闊
0	一筆勾銷	喺兩樣以上嘅嘢入面，決定要邊樣
0	除 / 𡃴	用嚟𡁻，唔係用嚟吞嘅糖（量詞：塊／粒／嚿）
1	林	樹木密集生長嘅地方
0	俾面 / 畀面	（帶貶義）對細微嘅嘢，尤其係錢銀或者幫人做嘢，好執著
0	囚禁	擁有好高才能嘅人稍微顯露一下佢嘅本事
0	脫節	歇後語，下半句係「冇撚得救」
0	送	唔係咁鍾意，不過都仲接受到
1	乍看之下	第一眼望落去見到嘅；單憑第一次觀察得到嘅印象；口頭少講
0	廚師	去其他人嘅地頭（通常係為咗挑釁對方或者去搞事）
0	得	媽媽嘅媽媽
0	斃	繁衍下一代，但係單指雌性嬰兒
0	踎低	「九」嘅大寫；見大寫數字
0	行	開口傳意；用語言表達意思
0	互相	將兩樣（或以上）嘅嘢合做一樣
0	悍	城市名；位於中國東部嘅城市，係浙江嘅省會
1	頂	同外力抗衡，以維持現狀
0	失魂	引人哋、令到人哋去做一啲嘢
0	己	將調咗味嘅食材直接加水或湯汁，先用大火煲滾，再以小火慢煮，等到食材軟熟入味為止
0	堡壘	一種棕櫚樹，原產於馬來西亞，係東南亞好普遍；亦都指可以食用嘅果實
1	掌握	對於一啲學識或者技能有透徹嘅了解
0	埃	托付
0	紮實	將情況講俾上級知
1	姨丈	阿媽個家姐嘅老公，或者阿媽個細妹嘅老公（量詞：個）
0	瀡	整理好
1	難怪	用嚟帶出一件啱啱明白原因、有所頓悟，因而覺得唔出奇嘅事
0	奉承	第一次
1	抄	謄寫或複製資料
1	把關	守好防線，防止敵人越過進入自己一方嘅領域
1	蝦蝦霸霸	周圍欺壓其他人
0	柬	泛指有至少一個開口嘅軟質容器（量詞：個）
0	交替	光碟機或者硬碟機讀取同寫入資料嘅組件（量詞：個）
1	筆	泛指用手拎住嚟寫嘢、畫嘢嘅工具（量詞：支）
0	大波	完全搵唔到方法解決問題
0	還	單挑；一個人打一個人
1	由於	因為；用嚟帶出一件事發生嘅原因（唔可以同「所以」一齊用）
1	打算	有意向做一樣嘢
1	假設	將一件事當係真嘅先，然後再做推論
0	警局	無所事事；冇嘢做；漫無目的噉周圍hea
1	袖	衫用嚟包住隻手嘅部份（量詞：隻）
1	來	睇「嚟」
0	豬嘴 / 豬咀	唔小心，成日唔記得嘢、唔見嘢
0	budget / 筆直	放喺動詞後面，表示一個動作中斷咗，之後再繼續進行
